S.No.,User_query,Bot_reply,Relevant
323,I want to look for apartments in and around Sector 48,Great. Let me help you with that. Are you looking to buy or rent?,Yes
324,Are there any under construction projects in sector 34?,Let me generate a listing of the best options available,Yes
325,Show me fully furnished 3BHK apartments in Sector 50.,Okay. Are you looking to buy or rent?,Yes
326,Housing options in Sector 48,Do you wish to buy or rent property?,Yes
327,I want to look for apartments in New Gurgaon,Great choice! Are you looking to buy or rent?,Yes
328,Show me under construction Projects on Sohna Road,Sure. Let me show you the best options available,Yes
329,Looking for 2BHK on M.G. Road,Are you looking to buy or rent property?,Yes
330,Can you help me buy property on Dwarka Expressway?,"Certainly, are you looking to rent or buy?",Yes
331,Housing options on Golf Course Extension Road,Let me generate a listing of the best options available,Yes
332,Is New Gurgaon a good location to invest in Real Estate?,Let me show you the best options available in New Gurgaon to invest in. I hope it makes your decision easier.,Yes 
333,What are the most popular residential locations in Gurgaon?,Let me look that up for you,Yes
334,Top Rated residential locations in Gurgaon,Searching for the best options for you to choose from,Yes
335,Show me top rated residential locations on M.G. Road,Showing you the best options for you to make a pick,Yes
336,Top Rated commercial spaces in Gurgaon,"Sorry, we do not provide the facility yet. Watch this space in future to avail that facility.",No
337,What are the total acres of land covered by Clarion the Legend?,Hold on as I look for the required inormation.,Yes
338,Give me details of the total land area coverage by Clarion the Legend,"Okay, let me find that out for you.",Yes
339,Clarion the Legend covers how much land area?,Let me look up the requested informaton of your property of choice.,Yes
340,Show me the biggest societies in terms of Land Area coverage in GGN.,"Sure, let me show you the best options available",Yes
341,How many units does DLF Bevery Park have?,Let me find that out.,Yes
342,Give me details of the number of floors in each tower at Garden Estate.,"Sure, here are the details that you require.",Yes
343,No. of floors in Garden Estate towers,Let me quickly look that up,Yes
344,Are there more than 20 floors in Garden Estate towers?,Let me look up the requested informaton of your property of choice.,Yes
345,Show me the specification of buildings at Garden Estate,Looking for the desired information regarding your property of choice.,Yes
346,Data on towers at Garden Estate,Let me look up the data you requested for.,Yes
347,Can you giveme Garden Estate's detailed profile?,Sure. Let me search for it.,Yes
348,How many towers does DLF Bevery Park II have?,Let me find that out for you.,Yes
349,Number of buidings at DLF Beverly Park II.,Searching for the information requested by you.,Yes
350,Show me lifts per tower at Gurgaon Gateway,Hold on as I look for the required inormation.,Yes
351,Can you give me the details of lifts per building at Gurgaon Gateway?,"Sure, let me look for the details required by you.",Yes
352,Are resident and service lifts separate at Gurgaon Gateway?,Let me quicky find that out.,Yes
353,How many resident lifts are provided in each building at Gurgaon Gateway?,Let me look up the requested informaton of your property of choice.,Yes
354,Are there service lifts apart from Residence lifts at Gurgaon Gateway?,Finding out the information requested by you.,Yes
355,Does Eldeco Mansions provide extra car parking?,"Hold on, let me quickly find that out.",Yes
356,Show me car parking details at Eldeco Mansions,Okay. Let me look up the requested details.,Yes
357,Can you help me with information on car parking at Eldeco Mansions?,"Sure, Let me search for the desired information.",Yes
358,Is there extra parking space provided at Eldeco Mansions?,Let me look up the data you requested for.,Yes
359,What is the parking area allotment like at Eldeco Mansions?,Let me find that out for you.,Yes
360,Is there ample parking space provided at Eldeco Mansions?,Hold on as I look for the required inormation.,Yes
361,Give me information on resident car parking charges at Eldeco Mansions,"Okay, Let me look up the desired details.",Yes
362,Guest car parking charges at Eldeco Mansions,Let me search for the details you require.,Yes
363,Does Eldeco Mansions provide guest car parking service?,Let me find out about your choice of service,Yes
364,Is there additional parking space for visitor cars at Eldeco Mansions?,Finding information on your selected service.,Yes
365,Is Visitor car parking service available at Eldeco Mansions?,Looking for the desired information regarding your property of choice.,Yes
366,What construction company handled Aravali Homes?,Let me look that up.,Yes
367,Show me construction details of Aravali Homes,"Okay, watch the space below for the answer to your query.",Yes
368,Can you help me look at the progress made at the construction of Aravali Homes?,Surely. Let me find that out for you.,Yes
369,Aravali Homes construction update,Checking for the desired updates…,Yes
370,Aravali Homes construction company details,Looking up the desired information…,Yes
371,Show me the Construction Company profile that handled Aravali Homes,"Okay, hold on while I look for the requested information.",Yes
372,I want to see the Developer profile of Aravali Homes,"Alright, let me find that out for you.",Yes
373,Can you give me the maintenance office details for Chintels Paradiso,"Yes, watch the space below..",Yes
374,Info on maintenance office at Chintels Paradiso,Finding information on your selected service.,Yes
375,Show me Chintels Paradiso maintenance office contact details,Showing you the details of the service you require,Yes
376,Contact Chintels Paradiso maintenance Office for me,"Sorry, we do not provide that facility. Please use the contact information provided below.",No
377,How do I contact Chintels Paradiso Maintenance Office?,Let me help you with that.,Yes
378,What the are the working hours for Chintels Paradiso Maintenance office?,Checking for the desired information..,Yes
379,Can you tell me the timings for the Maintenance office at Chintels Paradiso?,"Yes, let me check for the desired information",Yes
380,Show me work timings at maintenance office at Chintels Paradiso.,Showing you the details of the service you require,Yes
381,Chintels Paradiso Maintenance Office working hours.,Let me look that up for you,Yes
382,Can you give me information on the RWA at DLF Silver Oaks?,"Yes, watch the space below..",Yes
383,I want contact details of DLF Silver Oaks RWA.,Finding information on your selected service.,Yes
384,Help me contact the RWA at DLF Silver Oaks,Sure. Let me find out the details you require.,Yes
385,Is there a website for the RWA of DLF Silver Oaks?,Let me quickly look that up,Yes
386,What architecture firm is handling the current DLF projects?,Checking for the required data..,Yes
387,Who was the architect for MGF the Vilas?,Let me quickly find that out for you,Yes
388,Can you help me find the landscape designer of MGF the Vilas?,"Yes, Hold on as I look for the desired information.",Yes
389,Looking for MGF the Vilas's Landscapist,Let me help you with that.,Yes
390,Find the architect and Landscape designer for MGF the Vilas,Wait just a moment as I furnish the requested information,Yes
391,Give me detail on the designers behind MGF the Vilas,Looking for the details requested by you.,Yes
392,Show me the configuration of a 4BHK in DLF pinnacle,"Okay, watch the space below..",Yes
393,Can you help me look at the configuration of apartments at DLF pinnacle?,"Yes, Keep an eye on the place below for it",Yes
394,What types of property does DLF pinnacle have for purchasing?,Let me quickly find that out for you,Yes
395,What kinds of apartments are available for rent at DLF pinnacle?,Checking for the requested data..,Yes
396,Show me the number of washrooms at a 3BHK at DLF pinnacle,"Okay, let me find that out for you.",Yes
397,Can I see the balconies at a 2BHK at DLF pinnacle?,"Sure, Let me check for the desired information.",Yes
398,Show me apartments on the Dwarka Expressway that are Vastu Compliant,"Okay, let me show you proerties most suitable to your requirements.",Yes
399,I want to look for apartments to buy which are built acording to Vastu Shastra,"Okay, let me help you with that.",Yes
400,Show only Vastu Compliant homes up for renting,"Alright, let me show you the most suitable properties for you at your choice of location.",Yes
401,Is this apartment constructed according to Vastu rules?,Let me find that out for you.,Yes
402,Can you help me look for Vastu Compliant homes in GGN?,"Certainly, what locality is of your preferance?",Yes
403,What are the number of parking spaces allotted per apartment at Raheja Vanya?,Let me search for the details you require.,Yes
404,Raheja Vanya car parking per apartment,Hold on as I look for the required inormation.,Yes
405,Show me the Parking area provided per apartment at Raheja Vanya,"Okay, let me find that out for you.",Yes
406,Is there ample parking space provided per apartment at Raheja Vanya?,Hold on as I look for the required inormation.,Yes
407,Is there any servant quarter provided inside the 4BHK at Ramprastha Rise?,Looking for the details requested by you.,Yes
408,Show me apartments with a servant quarter at Ramprastha Rise.,"Okay, let me find the properties most suitable according to your requirement.",Yes
409,Can you help me look for apartments to buy that include a servant room or utility area?,"Yes, let me generate a listing of apartments mosr suitable to your needs.",Yes
410,Help me look for apartments at Ramprastha Rise that provide the facility of a separate utility room,"Surely, Let me look for the best options availabe for you",Yes
411,Show me top societies which provide servant accomodation.,"Okay, Watch the space below for the best options suitable for you.",Yes
